Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Aaron Nola,30,SP,2.3,12,9,0.571,4.46,32,32,0,0,0,0,193.2,178,105,96,32,45,0,202,1,0,2,793,96,4.03,1.151,8.3,1.5,2.1,9.4,4.49,,nolaaa01
2,Zack Wheeler,33,SP,4.2,13,6,0.684,3.61,32,32,0,0,0,0,192,168,82,77,20,39,0,212,9,0,1,787,119,3.15,1.078,7.9,0.9,1.8,9.9,5.44,CYA-6GG,wheelza01
3,Taijuan Walker,30,SP,2.5,15,6,0.714,4.38,31,31,0,0,0,0,172.2,155,87,84,20,71,1,138,8,1,3,733,98,4.53,1.309,8.1,1,3.7,7.2,1.94,,walketa01
4,Ranger Suárez*,27,SP,2.4,4,6,0.4,4.18,22,22,0,0,0,0,125,129,59,58,13,48,0,119,2,0,4,540,103,3.9,1.416,9.3,0.9,3.5,8.6,2.48,,suarera01
5,Cristopher Sánchez*,26,SP,2.1,3,5,0.375,3.44,19,18,1,0,0,0,99.1,88,44,38,16,16,0,96,3,0,3,396,125,3.99,1.047,8,1.4,1.4,8.7,6,,sanchcr01
6,Craig Kimbrel,35,CL,1.8,8,6,0.571,3.26,71,0,45,0,0,23,69,44,28,25,10,28,1,94,4,2,4,278,132,3.81,1.043,5.7,1.3,3.7,12.3,3.36,AS,kimbrcr01
7,Matt Strahm*,31,RP,2.2,9,5,0.643,3.29,56,10,6,0,0,2,87.2,68,34,32,11,21,0,108,3,1,1,351,131,3.24,1.015,7,1.1,2.2,11.1,5.14,,strahma01
8,Gregory Soto*,28,RP,0,3,4,0.429,4.62,69,0,13,0,0,3,60.1,47,34,31,6,22,0,65,2,0,5,250,93,3.59,1.144,7,0.9,3.3,9.7,2.95,,sotogr01
9,Jeff Hoffman,30,RP,1.9,5,2,0.714,2.41,54,0,13,0,0,1,52.1,29,16,14,3,19,1,69,2,0,4,208,180,2.57,0.917,5,0.5,3.3,11.9,3.63,,hoffmje02
10,Seranthony Domínguez,28,RP,0.4,5,5,0.5,3.78,57,0,7,0,0,2,50,48,25,21,7,22,0,48,6,1,1,224,114,4.84,1.4,8.6,1.3,4,8.6,2.18,,dominse01
11,Michael Lorenzen,31,,-0.2,4,2,0.667,5.51,11,7,2,1,1,1,47.1,49,32,29,9,20,0,28,0,0,0,206,78,5.81,1.458,9.3,1.7,3.8,5.3,1.4,AS,lorenmi01
12,José Alvarado*,28,,1.1,0,2,0,1.74,42,0,12,0,0,10,41.1,30,15,8,3,18,1,64,0,0,3,172,249,2.41,1.161,6.5,0.7,3.9,13.9,3.56,,alvarjo03
13,Bailey Falter*,26,,-0.3,0,7,0,5.13,8,7,0,0,0,0,40.1,50,30,23,7,8,0,28,0,0,0,175,84,4.72,1.438,11.2,1.6,1.8,6.2,3.5,,falteba01
14,Andrew Vasquez*,29,,1,2,1,0.667,2.27,30,0,12,0,0,0,39.2,35,12,10,4,14,1,34,5,2,2,170,191,4.29,1.235,7.9,0.9,3.2,7.7,2.43,,vasquan02
15,Yunior Marté,28,,-0.3,1,1,0.5,5.03,40,0,8,0,0,2,39.1,47,27,22,6,17,0,38,1,0,0,182,86,4.68,1.627,10.8,1.4,3.9,8.7,2.24,,marteyu01
16,Dylan Covey,31,,0.4,1,3,0.25,3.69,28,1,19,0,0,0,39,43,20,16,3,16,1,27,2,0,0,173,117,4.26,1.513,9.9,0.7,3.7,6.2,1.69,,coveydy01
17,Connor Brogdon,28,,0.3,2,1,0.667,4.03,27,1,3,0,0,0,29,29,14,13,5,13,0,26,1,0,2,127,108,5.15,1.448,9,1.6,4,8.1,2,,brogdco01
18,Andrew Bellatti,31,,0,1,0,1,5.11,27,0,4,0,0,0,24.2,25,15,14,4,12,0,25,0,0,0,113,85,4.8,1.5,9.1,1.5,4.4,9.1,2.08,,bellaan01
19,Luis Ortiz,27,,0.3,0,0,,3.32,14,0,10,0,0,1,19,23,7,7,1,5,0,16,0,0,0,80,132,3.04,1.474,10.9,0.5,2.4,7.6,3.2,,ortizlu02
20,Nick Nelson,27,,0.3,1,0,1,1.69,1,0,0,0,0,0,5.1,2,1,1,1,2,0,3,0,0,0,20,272,5.69,0.75,3.4,1.7,3.4,5.1,1.5,,nelsoni01
21,Michael Plassmeyer*,26,,-0.4,0,1,0,22.09,1,1,0,0,0,0,3.2,8,10,9,3,0,0,4,3,0,0,23,21,14.16,2.182,19.6,7.4,0,9.8,,,plassmi01
22,McKinley Moore,24,,-0.3,0,0,,18.9,3,0,0,0,0,0,3.1,5,7,7,1,5,0,2,2,0,0,21,25,12.26,3,13.5,2.7,13.5,5.4,0.4,,mooremc01
23,Orion Kerkering,22,,0.1,1,0,1,3,3,0,0,0,0,0,3,3,1,1,0,2,0,6,0,0,0,14,160,1.26,1.667,9,0,6,18,3,,kerkeor01
24,Kody Clemens,27,,0.1,0,0,,3.38,4,0,4,0,0,0,2.2,4,1,1,0,3,0,1,0,0,0,15,144,5.88,2.625,13.5,0,10.1,3.4,0.33,,clemeko01
25,Josh Harrison,35,,-0.2,0,0,,27,2,0,2,0,0,0,1.2,8,5,5,0,2,0,0,0,0,0,15,19,6.86,6,43.2,0,10.8,0,0,,harrijo05
26,Erich Uelmen,27,,-0.2,0,0,,36,1,0,0,0,0,0,1,3,4,4,0,2,0,1,0,0,0,8,16,7.26,5,27,0,18,9,0.5,,uelmeer01
,Team Totals,,,21.6,90,72,0.556,4.03,162,162,161,1,1,45,1442.1,1318,715,646,185,470,6,1454,54,7,35,6074,107,4,1.24,8.2,1.2,2.9,9.1,3.09,,-9999
