Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
14,Craig Stammen,38,,-0.1,1,2,0.333,4.43,33,1,9,0,0,0,40.2,45,22,20,9,10,0,35,2,0,3,177,86,5.15,1.352,10,2,2.2,7.7,3.5,,stammcr01
15,Adrián Morejón*,23,,0,5,1,0.833,4.24,26,0,6,0,0,0,34,31,18,16,4,9,1,28,1,0,0,141,90,3.88,1.176,8.2,1.1,2.4,7.4,3.11,,morejad01
16,Josh Hader*,28,,-1,1,1,0.5,7.31,19,0,11,0,0,7,16,17,14,13,1,9,0,22,3,0,3,78,53,3.42,1.625,9.6,0.6,5.1,12.4,2.44,AS,haderjo01
17,Pierce Johnson,31,,-0.1,1,2,0.333,5.02,15,0,1,0,0,0,14.1,14,8,8,1,8,0,21,0,0,1,64,77,2.76,1.535,8.8,0.6,5,13.2,2.63,,johnspi01
18,Reiss Knehr,25,,0.1,0,0,,3.95,5,1,2,0,0,0,13.2,11,6,6,1,4,0,10,4,1,0,59,98,4.36,1.098,7.2,0.7,2.6,6.6,2.5,,knehrre01
19,Dinelson Lamet,29,,-0.6,0,1,0,9.49,13,0,3,0,0,0,12.1,16,14,13,2,9,0,16,1,0,3,62,41,5.06,2.027,11.7,1.5,6.6,11.7,1.78,,lametdi01
20,Tayler Scott,30,,-0.4,0,1,0,6.75,8,0,2,0,0,0,12,19,10,9,1,6,0,13,0,0,0,59,58,3.53,2.083,14.3,0.8,4.5,9.8,2.17,,scottta02
21,Ray Kerr*,27,,-0.1,0,0,,9,7,0,6,0,0,0,5,3,5,5,1,4,0,3,0,0,1,21,45,6.91,1.4,5.4,1.8,7.2,5.4,0.75,,kerrra01
22,Kyle Tyler,25,,0.1,1,0,1,0,2,0,1,0,0,0,4,2,0,0,0,1,0,2,0,0,0,14,,2.86,0.75,4.5,0,2.3,4.5,2,,tylerky01
23,Pedro Avila,25,,0,0,0,,4.5,2,0,1,0,0,0,4,3,3,2,1,1,0,5,1,0,1,18,92,5.36,1,6.8,2.3,2.3,11.3,5,,avilape01
24,Wil Myers,31,,0,0,0,,7.36,4,0,4,0,0,0,3.2,4,3,3,3,0,0,0,1,0,0,16,57,14.57,1.091,9.8,7.4,0,0,,,myerswi01
25,Ryan Weathers*,22,,-0.2,0,0,,9.82,1,1,0,0,0,0,3.2,6,4,4,0,4,0,3,0,0,0,21,43,4.75,2.727,14.7,0,9.8,7.4,0.75,,weathry01
26,Austin Adams,31,,0.1,1,0,1,0,2,0,0,0,0,0,2.1,0,0,0,0,3,0,2,0,0,0,9,,5.25,1.286,0,0,11.6,7.7,0.67,,adamsau02
27,Javy Guerra,26,,-0.1,0,0,,18,1,0,1,0,0,0,2,3,4,4,1,3,0,1,0,0,0,12,25,13.11,3,13.5,4.5,13.5,4.5,0.33,,guerrja02
28,Matthew Batten,27,,0,0,0,,4.5,2,0,2,0,0,0,2,2,1,1,1,0,0,1,0,0,0,8,101,8.61,1,9,4.5,0,4.5,,,battema01
29,Michel Báez,26,,0.1,0,0,,0,2,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,1,7,,1.11,0.5,4.5,0,0,9,,,baezmi01
30,José Castillo*,26,,0,0,0,,9,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,5,59,4.11,2,9,0,9,9,1,,castijo03
,Team Totals,,,13.1,89,73,0.549,3.81,162,162,162,0,0,48,1443.1,1263,660,611,173,468,6,1451,88,5,54,6047,100,3.82,1.199,7.9,1.1,2.9,9,3.1,,-9999
