Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Yu Darvish,35,SP,4.6,16,8,0.667,3.1,30,30,0,0,0,0,194.2,148,67,67,22,37,0,197,12,1,4,771,122,3.31,0.95,6.8,1,1.7,9.1,5.32,CYA-8,darviyu01
2,Joe Musgrove,29,SP,3.5,10,7,0.588,2.93,30,30,0,0,0,0,181,154,67,59,22,42,1,184,14,0,4,740,129,3.59,1.083,7.7,1.1,2.1,9.1,4.38,AS,musgrjo01
3,Sean Manaea*,30,SP,-0.7,8,9,0.471,4.96,30,28,1,0,0,0,158,155,95,87,29,50,1,156,3,0,0,671,76,4.53,1.297,8.8,1.7,2.8,8.9,3.12,,manaese01
4,Blake Snell*,29,SP,2.2,8,10,0.444,3.38,24,24,0,0,0,0,128,103,51,48,11,51,0,171,2,0,6,535,112,2.8,1.203,7.2,0.8,3.6,12,3.35,,snellbl01
5,Mike Clevinger,31,SP,0.7,7,7,0.5,4.33,23,22,0,0,0,0,114.1,102,56,55,20,35,0,91,10,0,3,485,87,4.97,1.198,8,1.6,2.8,7.2,2.6,,clevimi01
6,MacKenzie Gore*,23,SP,0.4,4,4,0.5,4.5,16,13,0,0,0,0,70,66,35,35,7,37,0,72,4,0,6,309,84,4.11,1.471,8.5,0.9,4.8,9.3,1.95,,gorema01
7,Taylor Rogers*,31,CL,-0.1,1,5,0.167,4.35,42,0,35,0,0,28,41.1,37,22,20,1,9,1,48,8,0,0,174,87,2.34,1.113,8.1,0.2,2,10.5,5.33,,rogerta01
8,Nabil Crismatt,27,RP,0.6,5,2,0.714,2.94,50,1,14,0,0,0,67.1,57,29,22,5,22,1,65,2,2,0,280,129,3.22,1.173,7.6,0.7,2.9,8.7,2.95,,crismna01
9,Luis García,35,RP,0.3,4,6,0.4,3.39,64,0,11,0,0,3,61,57,28,23,3,17,0,68,5,0,7,259,112,2.6,1.213,8.4,0.4,2.5,10,4,,garcilu03
10,Steven Wilson,27,RP,0.9,4,2,0.667,3.06,50,1,8,0,0,1,53,36,20,18,7,20,0,53,3,0,4,214,124,4.13,1.057,6.1,1.2,3.4,9,2.65,,wilsost02
11,Tim Hill*,32,RP,0.4,3,0,1,3.56,55,0,21,0,0,0,48,45,20,19,1,14,1,25,4,0,1,199,107,3.47,1.229,8.4,0.2,2.6,4.7,1.79,,hillti01
12,Nick Martinez,31,,1.2,4,4,0.5,3.47,47,10,15,0,0,8,106.1,96,44,41,15,41,0,95,4,0,4,448,109,4.43,1.288,8.1,1.3,3.5,8,2.32,,martini01
13,Robert Suarez,31,,1.5,5,1,0.833,2.27,45,0,6,0,0,1,47.2,29,13,12,4,21,0,61,4,1,2,191,168,3.22,1.049,5.5,0.8,4,11.5,2.9,,suarero01
